site,PFT,latitude,longitude
BE-Bra,MF,51.30920029,4.520559788
BE-Dor,GRA,50.311928,4.968011
BE-Lcr,DBF,51.11218�,3.85043
BE-Lon,CRO,50.5516,4.7461
BE-Maa,CSH,50.9801111,5.6318611
BE-Vie,MF,50.3051,5.9981
CH-Aws,GRA,46.583194,�9.790417
CH-Cha,GRA,47.2102,8.4104
CH-Dav,ENF,46.8153,9.8559
CH-Fru,GRA,47.1158,8.5378
CH-Lae,MF,47.4781,8.365
CH-Oe2,CRO,47.2863,7.7343
CZ-BK1,ENF,49.5021,18.5369
CZ-KrP,CRO,49.573257,15.078773
CZ-Lnz,MF,48.681611,16.946416
CZ-RAJ,ENF,49.4437236,16.6965125
CZ-Stn,DBF,49.035975,17.9699
CZ-wet,WET,49.02500153,14.77200031
DE-Akm,WET,53.8662,13.6834
DE-Geb,CRO,51.10010147,10.91429996
DE-Gri,GRA,50.9495,13.5125
DE-Hai,DBF,51.0792,10.453
DE-HoH,DBF,52.085306,11.219222
DE-Hzd,DBF,50.96381,13.48978
DE-Kli,CRO,50.8929,13.5225
DE-Obe,ENF,50.7836,13.7196
DE-RuR,GRA,50.6219,6.3041
DE-RuS,CRO,50.8659,6.4472
DE-RuW,ENF,50.50490703,6.33101886
DE-Tha,ENF,50.96360016,13.56690025
DK-Gds,ENF,56.0737,9.3341
ES-Abr,SAV,38.701839,-6.785881
ES-Agu,OSH,36.940046,-2.033208
ES-Cnd,EBF,37.914998,-3.227659
ES-LM1,SAV,39.94269,-5.778683
ES-LM2,SAV,39.934592,-5.775881
FI-Hyy,ENF,61.8475,24.295
FI-Ken,ENF,67.98723,24.24305
FI-Let,ENF,60.6418,23.9595
FI-Qvd,CRO,60.295242,22.391607
FI-Sii,WET,61.83300018,24.19300079
FI-Var,ENF,67.7549,29.61
FR-Aur,CRO,43.54940033,1.10777998
FR-FBn,MF,43.24079,5.67865
FR-Fon,DBF,48.4764,2.7801
FR-Gri,CRO,48.84400177,1.95243001
FR-Hes,DBF,48.67419815,7.064620018
FR-Lam,CRO,43.49330139,1.237220049
FR-LGt,WET,47.322917,2.284102
FR-Tou,GRA,43.572855,1.37474
GF-Guy,EBF,5.277699947,-52.92879868
GL-Dsk,SNO,69.2535,-53.514
IL-Yat,ENF,31.34499931,35.05149841
IT-Cp2,EBF,41.7043,12.3573
IT-Lav,ENF,45.95529938,11.28120041
IT-Lsn,OSH,45.740481,12.750297
IT-MBo,GRA,46.0147,11.0458
IT-Ren,ENF,46.5869,11.4337
IT-SR2,ENF,43.732,10.291
IT-Tor,GRA,45.8444,7.5781
PL-wet,WET,52.7623,16.3095
RU-Fy2,ENF,56.447603,32.901878
RU-Fyo,ENF,56.46166992,32.92388916
SE-Deg,WET,64.1832962,19.54999924
SE-Htm,ENF,56.09763,13.41897
SE-Nor,ENF,60.08649826,17.47950363
SE-Ros,ENF,64.1725,19.738
SE-Svb,ENF,64.25611,19.7745
